name,gender,gender_probability,age,age_group,country_id,country_name,country_probability
Stage4B500k-2026-05-05T20-00-42Z-1,male,0.01,18,adult,NG,Nigeria,0.38
Stage4B500k-2026-05-05T20-00-42Z-2,female,0.02,19,adult,GH,Ghana,0.39
Stage4B500k-2026-05-05T20-00-42Z-3,male,0.03,20,adult,KE,Kenya,0.40
Stage4B500k-2026-05-05T20-00-42Z-4,female,0.04,21,adult,ZA,South Africa,0.41
Stage4B500k-2026-05-05T20-00-42Z-5,male,0.05,22,adult,UG,Uganda,0.42
Stage4B500k-2026-05-05T20-00-42Z-6,female,0.06,23,adult,TZ,Tanzania,0.43
Stage4B500k-2026-05-05T20-00-42Z-7,male,0.07,24,adult,SN,Senegal,0.44
Stage4B500k-2026-05-05T20-00-42Z-8,female,0.08,25,adult,CM,Cameroon,0.45
Stage4B500k-2026-05-05T20-00-42Z-9,male,0.09,26,adult,NG,Nigeria,0.46
Stage4B500k-2026-05-05T20-00-42Z-10,female,0.10,27,adult,GH,Ghana,0.47
Stage4B500k-2026-05-05T20-00-42Z-11,male,0.11,28,adult,KE,Kenya,0.48
Stage4B500k-2026-05-05T20-00-42Z-12,female,0.12,29,adult,ZA,South Africa,0.49
Stage4B500k-2026-05-05T20-00-42Z-13,male,0.13,30,adult,UG,Uganda,0.50
Stage4B500k-2026-05-05T20-00-42Z-14,female,0.14,31,adult,TZ,Tanzania,0.51
Stage4B500k-2026-05-05T20-00-42Z-15,male,0.15,32,adult,SN,Senegal,0.52
Stage4B500k-2026-05-05T20-00-42Z-16,female,0.16,33,adult,CM,Cameroon,0.53
Stage4B500k-2026-05-05T20-00-42Z-17,male,0.17,34,adult,NG,Nigeria,0.54
Stage4B500k-2026-05-05T20-00-42Z-18,female,0.18,35,adult,GH,Ghana,0.55
Stage4B500k-2026-05-05T20-00-42Z-19,male,0.19,36,adult,KE,Kenya,0.56
Stage4B500k-2026-05-05T20-00-42Z-20,female,0.20,37,adult,ZA,South Africa,0.57
Stage4B500k-2026-05-05T20-00-42Z-21,male,0.21,38,adult,UG,Uganda,0.58
Stage4B500k-2026-05-05T20-00-42Z-22,female,0.22,39,adult,TZ,Tanzania,0.59
Stage4B500k-2026-05-05T20-00-42Z-23,male,0.23,40,adult,SN,Senegal,0.60
Stage4B500k-2026-05-05T20-00-42Z-24,female,0.24,41,adult,CM,Cameroon,0.61
Stage4B500k-2026-05-05T20-00-42Z-25,male,0.25,42,adult,NG,Nigeria,0.62
Stage4B500k-2026-05-05T20-00-42Z-26,female,0.26,43,adult,GH,Ghana,0.63
Stage4B500k-2026-05-05T20-00-42Z-27,male,0.27,44,adult,KE,Kenya,0.64
Stage4B500k-2026-05-05T20-00-42Z-28,female,0.28,45,adult,ZA,South Africa,0.65
Stage4B500k-2026-05-05T20-00-42Z-29,male,0.29,46,adult,UG,Uganda,0.66
Stage4B500k-2026-05-05T20-00-42Z-30,female,0.30,47,adult,TZ,Tanzania,0.67
Stage4B500k-2026-05-05T20-00-42Z-31,male,0.31,48,adult,SN,Senegal,0.68
Stage4B500k-2026-05-05T20-00-42Z-32,female,0.32,49,adult,CM,Cameroon,0.69
Stage4B500k-2026-05-05T20-00-42Z-33,male,0.33,50,adult,NG,Nigeria,0.70
Stage4B500k-2026-05-05T20-00-42Z-34,female,0.34,51,adult,GH,Ghana,0.71
Stage4B500k-2026-05-05T20-00-42Z-35,male,0.35,52,adult,KE,Kenya,0.72
Stage4B500k-2026-05-05T20-00-42Z-36,female,0.36,53,adult,ZA,South Africa,0.73
Stage4B500k-2026-05-05T20-00-42Z-37,male,0.37,54,adult,UG,Uganda,0.74
Stage4B500k-2026-05-05T20-00-42Z-38,female,0.38,55,adult,TZ,Tanzania,0.75
Stage4B500k-2026-05-05T20-00-42Z-39,male,0.39,56,adult,SN,Senegal,0.76
Stage4B500k-2026-05-05T20-00-42Z-40,female,0.40,57,adult,CM,Cameroon,0.77
Stage4B500k-2026-05-05T20-00-42Z-41,male,0.41,58,adult,NG,Nigeria,0.78
Stage4B500k-2026-05-05T20-00-42Z-42,female,0.42,59,adult,GH,Ghana,0.79
Stage4B500k-2026-05-05T20-00-42Z-43,male,0.43,60,adult,KE,Kenya,0.80
Stage4B500k-2026-05-05T20-00-42Z-44,female,0.44,61,adult,ZA,South Africa,0.81
Stage4B500k-2026-05-05T20-00-42Z-45,male,0.45,62,adult,UG,Uganda,0.82
Stage4B500k-2026-05-05T20-00-42Z-46,female,0.46,63,adult,TZ,Tanzania,0.83
Stage4B500k-2026-05-05T20-00-42Z-47,male,0.47,64,adult,SN,Senegal,0.84
Stage4B500k-2026-05-05T20-00-42Z-48,female,0.48,65,adult,CM,Cameroon,0.85
Stage4B500k-2026-05-05T20-00-42Z-49,male,0.49,66,adult,NG,Nigeria,0.86
Stage4B500k-2026-05-05T20-00-42Z-50,female,0.50,67,adult,GH,Ghana,0.87
Stage4B500k-2026-05-05T20-00-42Z-51,male,0.51,68,adult,KE,Kenya,0.88
Stage4B500k-2026-05-05T20-00-42Z-52,female,0.52,69,adult,ZA,South Africa,0.89
Stage4B500k-2026-05-05T20-00-42Z-53,male,0.53,70,adult,UG,Uganda,0.90
Stage4B500k-2026-05-05T20-00-42Z-54,female,0.54,18,adult,TZ,Tanzania,0.91
Stage4B500k-2026-05-05T20-00-42Z-55,male,0.55,19,adult,SN,Senegal,0.92
Stage4B500k-2026-05-05T20-00-42Z-56,female,0.56,20,adult,CM,Cameroon,0.93
Stage4B500k-2026-05-05T20-00-42Z-57,male,0.57,21,adult,NG,Nigeria,0.94
Stage4B500k-2026-05-05T20-00-42Z-58,female,0.58,22,adult,GH,Ghana,0.95
Stage4B500k-2026-05-05T20-00-42Z-59,male,0.59,23,adult,KE,Kenya,0.96
Stage4B500k-2026-05-05T20-00-42Z-60,female,0.60,24,adult,ZA,South Africa,0.97
Stage4B500k-2026-05-05T20-00-42Z-61,male,0.61,25,adult,UG,Uganda,0.98
Stage4B500k-2026-05-05T20-00-42Z-62,female,0.62,26,adult,TZ,Tanzania,0.99
Stage4B500k-2026-05-05T20-00-42Z-63,male,0.63,27,adult,SN,Senegal,1.00
Stage4B500k-2026-05-05T20-00-42Z-64,female,0.64,28,adult,CM,Cameroon,0.01
Stage4B500k-2026-05-05T20-00-42Z-65,male,0.65,29,adult,NG,Nigeria,0.02
Stage4B500k-2026-05-05T20-00-42Z-66,female,0.66,30,adult,GH,Ghana,0.03
Stage4B500k-2026-05-05T20-00-42Z-67,male,0.67,31,adult,KE,Kenya,0.04
Stage4B500k-2026-05-05T20-00-42Z-68,female,0.68,32,adult,ZA,South Africa,0.05
Stage4B500k-2026-05-05T20-00-42Z-69,male,0.69,33,adult,UG,Uganda,0.06
Stage4B500k-2026-05-05T20-00-42Z-70,female,0.70,34,adult,TZ,Tanzania,0.07
Stage4B500k-2026-05-05T20-00-42Z-71,male,0.71,35,adult,SN,Senegal,0.08
Stage4B500k-2026-05-05T20-00-42Z-72,female,0.72,36,adult,CM,Cameroon,0.09
Stage4B500k-2026-05-05T20-00-42Z-73,male,0.73,37,adult,NG,Nigeria,0.10
